username,community,pagerank,betweenness,in_degree,out_degree,narrative_similarity,tweet_frequency,reply_ratio,is_buzzer
Ainlamim,1,0.0007796825227094,0.0,0,1,0.1229103010139641,1,1.0,0
reeote,131,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
fai_syaukani,36,0.0007796825227094,0.0,0,1,0.2933363001796543,1,1.0,0
cherryceez,1,0.0007796825227094,0.0,0,1,0.0608964887402148,1,1.0,0
arganheimer,1,0.0007796825227094,0.0,0,1,0.1720014422313356,1,1.0,0
Imsunnyjae,1,0.0007796825227094,0.0,0,1,0.1642729655203066,1,1.0,0
masxbam,1,0.0007796825227094,0.0,0,1,0.1119831004197373,1,1.0,0
jeffreyjef81303,127,0.0007796825227094,0.0,0,1,0.3859448194427969,1,1.0,0
Sociologicalist,1,0.0007796825227094,0.0,0,1,0.2337639553970539,1,1.0,0
BramantoAlbarr,1,0.0007796825227094,0.0,0,1,0.1663253453284448,1,1.0,0
Goo9le_Fiv3,2,0.0007796825227094,0.0,0,2,0.192987099133886,3,0.6666666666666666,0
farhm_,1,0.0007796825227094,0.0,0,1,0.1335485654455163,1,1.0,0
muhjayz,1,0.0007796825227094,0.0,0,1,0.1173200764521871,1,1.0,0
hermanpanca07,1,0.0007796825227094,0.0,0,1,0.1173323438161897,1,1.0,0
ckrwlaa,1,0.0007796825227094,0.0,0,1,0.1217788534265032,1,1.0,0
Devanoar,116,0.0007796825227094,0.0,0,1,0.348487916503862,1,1.0,0
diikalesmana,1,0.0007796825227094,0.0,0,1,0.1962199507381707,1,1.0,0
wahyu_djanti88,36,0.0007796825227094,0.0,0,1,0.257993759348463,1,1.0,0
Mahandi88,1,0.0007796825227094,0.0,0,1,0.1885196224253948,1,1.0,0
wasikjogja,1,0.0007796825227094,0.0,0,1,0.1952451132088348,1,1.0,0
bagya_in,132,0.0007796825227094,0.0,0,1,0.7188576356474432,1,1.0,0
halopakniel,132,0.0014426852940011,1.645765445508706e-06,1,1,0.7188576356474439,1,1.0,0
karatepay,1,0.0007796825227094,0.0,0,1,0.217266076306773,1,1.0,0
galihon7,1,0.0007796825227094,0.0,0,1,0.2374569520329992,1,1.0,0
TxtdrSemeru,1,0.0007796825227094,0.0,0,1,0.1738146564360009,1,1.0,0
NaniMo6070,1,0.0007796825227094,0.0,0,1,0.1617736557751335,1,1.0,0
babijoged,1,0.0007796825227094,0.0,0,1,0.0793937046854088,1,1.0,0
sobesobe544,119,0.0007796825227094,0.0,0,1,0.3510698007978644,1,1.0,0
AikHoki,2,0.0007796825227094,0.0,0,1,0.2885160367574055,1,1.0,0
ketumpartai,1,0.0007796825227094,0.0,0,1,0.116966502497737,1,1.0,0
twit_logis,7,0.000812832661274,5.485884818362354e-07,1,1,0.1845264235322104,1,1.0,0
Sisi_Biru,1,0.0007796825227094,0.0,0,1,0.2159488018517043,1,1.0,0
andrekelv,1,0.0007796825227094,0.0,0,1,0.1027857507625712,1,1.0,0
v4nc1_b0zz,1,0.0007796825227094,0.0,0,1,0.2168075029942703,1,1.0,0
beruangM3r4H,26,0.0014426852940011,1.645765445508706e-06,1,1,0.1486703300310363,1,1.0,0
